2 13
19 9
8 9
4 13
25 5
18 9
40 1
5 13
27 5
17 7
68 2
45 8
26 14
24 9
18 3
55 4
31 5
42 1
34 7
38 5
4 13
16 9
13 9
46 4
3 13
17 8
31 15
19 8
38 2
35 10
57 4
33 5
4 13
46 5
11 13
30 9
34 8
60 2
32 10
30 1
29 5
40 9
16 13
20 14
42 9
10 13
26 9
23 9
35 6
44 14
26 9
12 9
32 9
28 15
31 8
29 5
33 10
28 15
25 9
39 9
5 13
15 7
18 7
27 5
32 5
11 13
33 9
21 13
28 8
30 14
43 6
45 5
28 5
38 10
65 1
50 5
63 6
48 10
21 9
26 14
14 13
34 5
66 2
27 15
23 9
15 7
32 5
27 15
25 5
37 8
29 5
7 13
26 5
22 10
24 14
41 10
60 3
28 10
57 3
68 2
70 4
32 8
35 1
65 4
76 4
8 13
62 4
1 13
43 1
78 7
48 10
58 5
46 2
37 2
42 2
60 2
57 8
19 10
13 5
32 2
34 2
38 2
54 2
25 3
26 3
28 3
40 3
43 3
40 3
55 3
15 13
47 3
49 3
50 3
36 3
39 3
65 3
38 3
53 3
46 3
42 3
53 3
44 1
37 1
40 1
67 1
16 9
15 9
9 13
41 3
54 3
62 3
51 4
52 4
59 4
46 6
48 6
60 6
25 6
46 6
44 6
56 7
25 14
26 14
32 2
30 10
51 6
28 14
34 3
35 9
50 4
39 1
29 9
32 5
37 10
69 2
58 10
42 5
47 2
46 9
52 2
27 8
39 2
26 5
32 3
44 2
53 2
75 6
47 6
56 6
60 6
46 6
34 12
55 2
3 13
38 15
40 15
57 15
50 14
77 6
48 10
38 14
31 14
53 14
31 7
40 3
28 7
30 9
64 8
59 9
52 3
79 3
42 10
58 2
55 3
41 6
47 2
45 10
75 3
54 7
49 3
59 8
75 2
38 5
43 2
50 10
62 9
39 2
46 10
63 3
25 14
77 8
14 13
28 15
30 10
41 14
35 11
52 3
80 2
60 11
39 10
66 10
63 2
37 5
42 5
28 5
46 10
55 14
61 14
27 9
57 10
36 5
25 10
28 12
40 9
38 10
56 7
42 10
59 2
53 3
71 10
52 12
16 13
17 13
36 15
39 5
38 7
55 2
40 11
44 14
20 9
26 13
28 4
25 9
42 9
21 7
27 13
28 14
57 14
51 4
39 6
47 2
25 14
15 13
34 10
37 1
36 14
52 14
76 9
42 15
31 14
36 9
20 13
17 13
29 14
22 9
16 13
28 8
56 6
38 10
46 10
65 3
27 10
68 6
60 2
45 10
50 2
70 2
30 9
33 7
45 1
15 7
30 5
31 5
26 13
29 10
27 4
36 9
42 8
38 2
32 9
28 14
30 9
10 13
31 4
29 5
16 9
25 6
37 2
30 7
26 13
40 3
28 9
41 2
40 2
20 13
94 9
50 3
31 7
19 7
35 5
68 8
35 15
38 5
46 3
46 4
33 5
49 8
28 9
44 4
56 2
39 4
41 8
27 9
46 4
49 2
22 9
42 9
38 10
33 15
52 14
50 8
46 1
51 9
54 4
56 4
45 1
38 2
44 2
48 8
58 9
52 4
47 2
55 8
53 9
32 10
48 12
62 2
54 2
50 8
44 3
46 4
26 9
52 9
33 11
37 10
20 13
28 15
50 10
41 8
35 11
24 5
48 5
31 9
28 9
62 5
52 14
25 11
30 10
37 4
52 2
75 8
70 6
63 10
80 3
38 5
44 2
31 14
26 13
75 2
28 7
32 8
42 15
40 3
34 11
25 13
34 10
39 12
41 14
36 14
37 8
38 9
46 2
52 10
49 8
50 3
48 5
74 2
56 3
51 8
46 3
47 3
62 2
72 8
88 6
70 9
78 10
90 10
23 7
24 8
73 5
45 14
37 9
30 5
56 12
20 15
39 9
54 9
41 5
51 4
56 4
51 1
49 1
45 10
64 1
30 9
22 9
35 14
40 3
57 9
26 5
36 9
44 9
35 5
47 2
42 5
61 5
66 6
50 3
41 2
53 2
39 5
48 2
57 1
38 5
43 2
50 9
55 10
63 8
47 2
51 2
28 5
63 9
60 10
29 10
53 10
49 10
58 8
40 10
27 10
28 14
37 8
21 15
58 8
35 8
17 13
52 10
44 4
22 13
34 2
25 15
39 2
80 3
12 13
46 12
55 6
52 4
36 10
48 3
40 2
20 13
75 2
26 6
21 10
24 8
28 9
29 10
38 2
35 10
27 7
25 10
30 5
41 2
34 8
43 2
26 9
40 9
29 7
12 8
26 15
36 8
74 12
66 8
25 13
41 1
45 2
64 2
52 3
6 13
45 2
47 1
25 9
31 7
42 2
48 8
29 7
35 9
25 5
40 9
13 13
29 8
45 6
43 2
20 2
76 4
37 2
42 15
65 8
48 8
64 2
71 5
47 3
69 4
29 8
59 10
61 2
83 8
53 3
43 10
33 15
86 2
60 3
58 3
26 14
41 15
28 9
30 9
37 9
25 13
34 8
36 8
47 4
65 8
59 8
72 7
62 10
60 8
39 10
84 8
42 8
70 3
77 10
53 8
45 8
48 14
35 12
10 13
51 4
66 2
28 14
