Long arithmetics
Dynamic programming
Graph theory
Recursion, backtracking
Sorting and sequences
Combinatorics
Simple math
Geometry
Integer arithmetics
Mathematic modeling
Greedy algorithm
Data structures
Tasks for beginners
String parsing
Two-dimensional arrays
